timestamp,lat,lon,depth,unit,site,rtcfail
2017-04-11 11:25:44 GMT+5,83.9834384,-66.3511467,48.45,4,3,0
2017-04-11 11:25:47 GMT+5,83.9834467,-66.3510833,61.53,4,3,0
2017-04-11 11:25:52 GMT+5,83.9834617,-66.350915,62.59,4,3,0
2017-04-11 11:25:57 GMT+5,83.9834734,-66.3508167,55.33,4,3,0
2017-04-11 11:26:01 GMT+5,83.9834867,-66.3506966,52.78,4,3,0
2017-04-11 11:26:06 GMT+5,83.9834983,-66.3505867,59.98,4,3,0
2017-04-11 11:26:11 GMT+5,83.9835117,-66.3504734,62.09,4,3,0
2017-04-11 11:26:15 GMT+5,83.98352,-66.3503783,73.78,4,3,0
2017-04-11 11:26:19 GMT+5,83.9835317,-66.3503017,55.88,4,3,0
2017-04-11 11:26:24 GMT+5,83.9835434,-66.3502033,38.86,4,3,0
2017-04-11 11:26:28 GMT+5,83.9835533,-66.3500816,30.77,4,3,0
2017-04-11 11:26:33 GMT+5,83.9835666,-66.3499817,15.86,4,3,0
2017-04-11 11:26:40 GMT+5,83.98358,-66.3498667,30.99,4,3,0
2017-04-11 11:26:46 GMT+5,83.9835933,-66.3497716,29.55,4,3,0
2017-04-11 11:26:51 GMT+5,83.9836066,-66.3496584,49.67,4,3,0
2017-04-11 11:26:56 GMT+5,83.9836184,-66.3495733,52.78,4,3,0
2017-04-11 11:27:01 GMT+5,83.98363,-66.3494517,54.11,4,3,0
2017-04-11 11:27:05 GMT+5,83.9836399,-66.3493534,37.92,4,3,0
2017-04-11 11:27:09 GMT+5,83.9836466,-66.34927,15.53,4,3,0
2017-04-11 11:27:12 GMT+5,83.9836584,-66.3491416,8.71,4,3,0
2017-04-11 11:27:16 GMT+5,83.9836683,-66.3490883,3.113,4,3,0
2017-04-11 11:27:20 GMT+5,83.9836817,-66.3489717,9.1,4,3,0
2017-04-11 11:27:24 GMT+5,83.9836883,-66.348885,21.4,4,3,0
2017-04-11 11:27:26 GMT+5,83.983695,-66.3488217,29,4,3,0
2017-04-11 11:27:29 GMT+5,83.9837066,-66.34869,37.15,4,3,0
2017-04-11 11:27:33 GMT+5,83.9837166,-66.3485967,30.16,4,3,0
2017-04-11 11:27:35 GMT+5,83.9837283,-66.3484583,36.2,4,3,0
2017-04-11 11:27:39 GMT+5,83.98374,-66.34835,33.76,4,3,0
2017-04-11 11:27:42 GMT+5,83.983755,-66.3481783,35.82,4,3,0
2017-04-11 11:27:44 GMT+5,83.9837617,-66.348135,39.7,4,3,0
2017-04-11 11:27:47 GMT+5,83.9837734,-66.3480134,30.27,4,3,0
2017-04-11 11:27:50 GMT+5,83.9837817,-66.3478817,31.55,4,3,0
2017-04-11 11:27:53 GMT+5,83.9837967,-66.3477917,41.91,4,3,0
2017-04-11 11:27:57 GMT+5,83.9838066,-66.34771,47.18,4,3,0
2017-04-11 11:28:00 GMT+5,83.983825,-66.3475534,43.58,4,3,0
2017-04-11 11:28:05 GMT+5,83.9838434,-66.34745,57.32,4,3,0
2017-04-11 11:28:09 GMT+5,83.9838534,-66.3473567,63.14,4,3,0
